table_id, table_name
C23002B,"Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone)" 
C23002D,"Sex by Age by Employment Status for the Population 16 Years and Over (Asian or African American Alone)"
C23002H,"Sex by Age by Employment Status for the Population 16 Years and Over (White Alone, Not Hispanic or Latino)"
C23002I,"Sex by Age by Employment Status for the Population 16 Years and Over (Hispanic or Latino)" 
