variable_name, variable_description, data_type
year,"Year",Character
statefips,"State FIPS code",Character
state,"State name",Character
countyfips,"County FIPS code",Character
county,"County name",Character
edu_ratio_wanh_ba,"Educational inequity between White alone, Not Hispanic or Latino, and Black alone",Numeric
edu_ratio_wanh_h,"Educational inequity between White alone, Not Hispanic or Latino, and Hispanic or Latino",Numeric
edu_ratio_wanh_aa,"Educational inequity between White alone, Not Hispanic or Latino, and Asian alone",Numeric
