table_id, table_name
C15002B,"Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone)" 
C15002D,"Sex by Educational Attainment for the Population 25 Years and Over (Asian or African American Alone)"
C15002H,"Sex by Educational Attainment for the Population 25 Years and Over (White Alone, Not Hispanic or Latino)"
C15002I,"Sex by Educational Attainment for the Population 25 Years and Over (Hispanic or Latino)" 
