variable_name, variable_description, data_type
year,"Year",Character
statefips,"State FIPS code",Character
state,"State name",Character
countyfips,"County FIPS code",Character
county,"County name",Character
ice_wanh_ba,"Income inequity between White alone, Not Hispanic or Latino-headed households, and Black alone-headed households" ,Numeric
ice_wanh_h,"Income inequity between White alone, Not Hispanic or Latino-headed households, and Hispanic or Latino-headed households",Numeric
ice_wanh_aa,"Income inequity between White alone, Not Hispanic or Latino-headed households, and Asian alone-headed households",Numeric
